"Item ID","Item Name","Category Name","Category ID","Unit (UOM)","Unit ID","Opening Quantity","Opening Stock (Text)","Min Quantity","Model","Grade","Height","Width","Length","Thickness","Type","Classification","Placement / Warehouse","Composition","Outer Diameter","Inner Diameter","No of Coil","Is Deleted","Created At","Updated At"
"2","BEARING 608 ZZ","Raw Material","1","NOS","0","0","NA","0","","C","0","0","0","0","","SEMI_FINISH","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"3","BEARING 2216","Raw Material","1","NOS","0","0","2","0","","A","0","0","0","0","","FINISH","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"4","BEARING 6014","Raw Material","1","NOS","0","0","NA","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"5","BEARING 6019","Raw Material","1","NOS","0","0","NA","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"6","BEARING 6200","Raw Material","1","NOS","0","0","NA","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"7","BEARING 6201","Raw Material","1","NOS","0","0","NA","0","","B","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"8","BEARING 6202","Raw Material","1","NOS","0","0","NA","0","","B","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"9","BEARING 6206","Raw Material","1","NOS","0","0","NA","0","","B","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"10","BEARING 6205","Raw Material","1","NOS","0","0","NA","0","","B","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"11","BEARING 6208","Raw Material","1","NOS","0","0","NA","0","","B","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"12","BEARING 6209","Raw Material","1","NOS","0","0","NA","0","","B","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"13","BEARING 6210","Raw Material","1","NOS","0","0","NA","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"14","BEARING 6218","Raw Material","1","NOS","0","0","16","0","","C","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"15","BEARING 6303","Raw Material","1","NOS","0","0","10","0","","C","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"16","BEARING 6305","Raw Material","1","NOS","0","0","NA","0","","C","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"17","BEARING 6306","Raw Material","1","NOS","0","0","NA","0","","C","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"18","BEARING 6308","Raw Material","1","NOS","0","0","NA","0","","C","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"19","BEARING 6309","Raw Material","1","NOS","0","0","NA","0","","C","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"20","BEARING 6322","Raw Material","1","NOS","0","0","NA","0","","B","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"21","BEARING 6312","Raw Material","1","NOS","0","0","NA","0","","B","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"22","BEARING 6320 C3","Raw Material","1","NOS","0","0","2","0","","B","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"23","BEARING 7221","Raw Material","1","NOS","0","0","13","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"24","BEARING 6215","Raw Material","1","NOS","0","0","4","0","","B","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"25","BEARING 6301","Raw Material","1","NOS","0","0","NA","0","","B","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"26","BEARING 6304","Raw Material","1","NOS","0","0","NA","0","","B","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"27","BEARING 6203","Raw Material","1","NOS","0","0","NA","0","","B","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"28","BEARING 6212","Raw Material","1","NOS","0","0","NA","0","","B","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"29","BEARING 30308","Raw Material","1","NOS","0","0","NA","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"30","BEARING 32211","Raw Material","1","NOS","0","0","NA","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"31","BEARING 32021","Raw Material","1","NOS","0","0","2","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"32","BEARING 22220 C3","Raw Material","1","NOS","0","0","NA","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"33","BEARING 22220 K","Raw Material","1","NOS","0","0","NA","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"34","BEARING 22226 C3","Raw Material","1","NOS","0","0","1","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"35","BEARING 22324 C3","Raw Material","1","NOS","0","0","2","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"36","BEARING 30212","Raw Material","1","NOS","0","0","NA","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"37","BEARING 30310","Raw Material","1","NOS","0","0","NA","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"38","BEARING 32209","Raw Material","1","NOS","0","0","1","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"39","BEARING 30208","Raw Material","1","NOS","0","0","NA","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"40","BEARING 30306","Raw Material","1","NOS","0","0","NA","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"41","BEARING 30207","Raw Material","1","NOS","0","0","NA","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"42","BEARING 30209","Raw Material","1","NOS","0","0","NA","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"43","BEARING 32012X","Raw Material","1","NOS","0","0","NA","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"44","BEARING 32015","Raw Material","1","NOS","0","0","7","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"45","BEARING 32308","Raw Material","1","NOS","0","0","NA","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"46","BEARING 32215","Raw Material","1","NOS","0","0","1","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"47","BEARING 32310","Raw Material","1","NOS","0","0","1","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"48","BEARING 23230 C3","Raw Material","1","NOS","0","0","NA","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"49","BEARING 22340 C3","Raw Material","1","NOS","0","0","NA","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"50","BEARING 22322 C3","Raw Material","1","NOS","0","0","NA","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"51","BEARING 22322 C4","Raw Material","1","NOS","0","0","NA","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"52","BEARING 22240 C3","Raw Material","1","NOS","0","0","2","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"53","BEARING 22222 C3","Raw Material","1","NOS","0","0","NA","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"54","BEARING 22222 K","Raw Material","1","NOS","0","0","3","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"55","BEARING 23040 C3","Raw Material","1","NOS","0","0","2","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"56","Sleeve H-322","Raw Material","1","NOS","0","0","3","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"57","Plummer Block SN-522","Raw Material","1","NOS","0","0","3","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"58","BEARING 22219","Raw Material","1","NOS","0","0","NA","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"59","Bearing 22313 ","Raw Material","1","NOS","0","0","NA","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"60","Bearing 22316 C3","Raw Material","1","NOS","0","0","NA","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"61","BEARING 22319","Raw Material","1","NOS","0","0","NA","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"62","BEARING 22230 C3","Raw Material","1","NOS","0","0","NA","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"63","BEARING 22332 C3","Raw Material","1","NOS","0","0","NA","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"64","BEARING 22319 C4","Raw Material","1","NOS","0","0","NA","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"65","BEARING 22320 C3","Raw Material","1","NOS","0","0","1","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"66","BEARING 22317 C4","Raw Material","1","NOS","0","0","NA","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"67","BEARING 22326 C3","Raw Material","1","NOS","0","0","1","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"68","BEARING 23136 C3","Raw Material","1","NOS","0","0","2","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"69","BEARING 23140 C3","Raw Material","1","NOS","0","0","NA","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"70","BEARING 22224 C3","Raw Material","1","NOS","0","0","NA","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"71","BEARING 22328 C3","Raw Material","1","NOS","0","0","2","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"72","BEARING 22328 C4","Raw Material","1","NOS","0","0","NA","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"73","BEARING 23236 C3","Raw Material","1","NOS","0","0","NA","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
"74","BEARING 23144 C3","Raw Material","1","NOS","0","0","NA","0","","A","0","0","0","0","","","Store MHEL","","","","0","No","0000-00-00 00:00:00","0000-00-00 00:00:00"
